"","Year","Month","Day","Hour","AQI","RawConc","date","YearName","Month_Name"
"225",2018,1,10,9,159,76,2018-01-10 09:00:00,"2018","January"
"226",2018,1,10,10,157,64,2018-01-10 10:00:00,"2018","January"
"227",2018,1,10,11,155,56,2018-01-10 11:00:00,"2018","January"
"228",2018,1,10,12,154,58,2018-01-10 12:00:00,"2018","January"
"229",2018,1,10,13,153,55,2018-01-10 13:00:00,"2018","January"
"230",2018,1,10,14,151,51,2018-01-10 14:00:00,"2018","January"
"231",2018,1,10,15,139,45,2018-01-10 15:00:00,"2018","January"
"232",2018,1,10,16,139,51,2018-01-10 16:00:00,"2018","January"
"233",2018,1,10,17,137,49,2018-01-10 17:00:00,"2018","January"
"234",2018,1,10,18,140,53,2018-01-10 18:00:00,"2018","January"
"235",2018,1,10,19,134,46,2018-01-10 19:00:00,"2018","January"
"236",2018,1,10,20,130,45,2018-01-10 20:00:00,"2018","January"
"237",2018,1,10,21,125,41,2018-01-10 21:00:00,"2018","January"
"238",2018,1,10,22,117,37,2018-01-10 22:00:00,"2018","January"
"239",2018,1,10,23,111,36,2018-01-10 23:00:00,"2018","January"
"240",2018,1,11,0,110,37,2018-01-11 00:00:00,"2018","January"
"241",2018,1,11,1,108,36,2018-01-11 01:00:00,"2018","January"
"242",2018,1,11,2,96,29,2018-01-11 02:00:00,"2018","January"
"243",2018,1,11,3,95,33,2018-01-11 03:00:00,"2018","January"
"244",2018,1,11,4,97,35,2018-01-11 04:00:00,"2018","January"
"245",2018,1,11,5,102,38,2018-01-11 05:00:00,"2018","January"
"246",2018,1,11,6,104,39,2018-01-11 06:00:00,"2018","January"
"247",2018,1,11,7,115,48,2018-01-11 07:00:00,"2018","January"
"248",2018,1,11,8,118,44,2018-01-11 08:00:00,"2018","January"
"249",2018,1,11,9,116,40,2018-01-11 09:00:00,"2018","January"
"250",2018,1,11,10,109,35,2018-01-11 10:00:00,"2018","January"
"251",2018,1,11,11,101,31,2018-01-11 11:00:00,"2018","January"
"252",2018,1,11,12,96,30,2018-01-11 12:00:00,"2018","January"
"253",2018,1,11,13,86,25,2018-01-11 13:00:00,"2018","January"
"254",2018,1,11,14,92,35,2018-01-11 14:00:00,"2018","January"
"255",2018,1,11,15,89,29,2018-01-11 15:00:00,"2018","January"
"256",2018,1,11,16,85,26,2018-01-11 16:00:00,"2018","January"
"257",2018,1,11,17,91,34,2018-01-11 17:00:00,"2018","January"
"258",2018,1,11,18,94,34,2018-01-11 18:00:00,"2018","January"
"259",2018,1,11,19,96,35,2018-01-11 19:00:00,"2018","January"
"260",2018,1,11,20,107,44,2018-01-11 20:00:00,"2018","January"
"261",2018,1,11,21,113,44,2018-01-11 21:00:00,"2018","January"
"262",2018,1,11,22,121,47,2018-01-11 22:00:00,"2018","January"
"263",2018,1,11,23,136,55,2018-01-11 23:00:00,"2018","January"
"264",2018,1,12,0,134,48,2018-01-12 00:00:00,"2018","January"
"265",2018,1,12,1,135,50,2018-01-12 01:00:00,"2018","January"
"266",2018,1,12,2,135,49,2018-01-12 02:00:00,"2018","January"
"267",2018,1,12,3,138,52,2018-01-12 03:00:00,"2018","January"
"268",2018,1,12,4,135,48,2018-01-12 04:00:00,"2018","January"
"269",2018,1,12,5,138,53,2018-01-12 05:00:00,"2018","January"
"270",2018,1,12,6,139,52,2018-01-12 06:00:00,"2018","January"
"271",2018,1,12,7,140,54,2018-01-12 07:00:00,"2018","January"
"272",2018,1,12,8,145,58,2018-01-12 08:00:00,"2018","January"
"273",2018,1,12,9,154,73,2018-01-12 09:00:00,"2018","January"
"274",2018,1,12,10,151,48,2018-01-12 10:00:00,"2018","January"
"275",2018,1,12,11,152,61,2018-01-12 11:00:00,"2018","January"
"276",2018,1,12,12,150,50,2018-01-12 12:00:00,"2018","January"
"277",2018,1,12,13,146,51,2018-01-12 13:00:00,"2018","January"
"278",2018,1,12,14,154,75,2018-01-12 14:00:00,"2018","January"
